question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"15. Which of the following is/are the exclusive power(s) of Lok Sabha ?
1. To ratify the declaration of Emergency
2. To pass a motion of no-confidence against the Council of Ministers
3. To impeach the President of India
Select the correct answer using the code given below:
(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of parliamentary powers, focusing on the exclusive powers of the Lok Sabha regarding emergency declarations and motions of no-confidence.",FALSE,Exclusive Powers of the Lok Sabha,"Lok Sabha, exclusive powers, motion of no-confidence, Declaration of Emergency, Impeachment of President","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India","factual recall, application of constitutional knowledge",TRUE,2022
"16. With reference to anti-defection law in India, consider the following statements :
1. The law specifies that a nominated legislator cannot join any political party within six months of being appointed to the House.
2. The law does not provide any time-frame within which the presiding officer has to decide a defection case.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of anti-defection law in India, focusing on the specifics of the provisions regarding nominated legislators and the time-frame for presiding officers in defection cases.",,Anti-Defection Law,"anti-defection law, nominated legislator, defection case, presiding officer, time-frame","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India by D.D. Basu",Factual Recall and Concept Application,TRUE,2022
"33. With reference to ""Software as a Service (SaaS)"", consider the following statements:
1. SaaS buyers can customise the user interface and can change data fields.
2. SaaS users can access their data through their mobile devices.
3. Outlook, Hotmail and Yahoo! Mail are forms of SaaS.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Software as a Service (SaaS), focusing on the characteristics and examples of SaaS platforms.",,Software as a Service (SaaS),"SaaS, Cloud Computing, User Interface Customization, Mobile Data Access, Outlook, Hotmail, Yahoo! Mail","Digital Transformation and Cloud Computing, NCERT Textbooks in Science and Information Technology, Cloud Computing by Rajkumar Buyya",Conceptual understanding,TRUE,2022
"34. Which one of the following statements best reflects the idea behind the ""Fractional Orbital Bombardment System"" often talked about in media?
(a) A hypersonic missile is launched into space to counter the asteroid approaching the Earth and explode it in space.
(b) A spacecraft lands on another planet after making several orbital motions.
(c) A missile is put into a stable orbit around the Earth and deorbits over a target on the Earth.
(d) A spacecraft moves along a comet with the same speed and places a probe on its surface.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of missile systems, focusing on the characteristics of the Fractional Orbital Bombardment System (FOBS).",FALSE,Missile Technology and Orbital Bombardment Concepts,"Fractional Orbital Bombardment System, orbital mechanics, missile deorbit, strategic deterrence, hypersonic missile","An Introduction to Strategic Studies, Defence Technology: Modern Trends",factual recall,TRUE,2022
"35. Which one of the following is the context in which the term ""qubit"" is mentioned ?
(a) Cloud Services
(b) Quantum Computing
(c) Visible Light Communication Technologies
(d) Wireless Communication Technologies",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Quantum Computing, focusing on the identification of the correct term related to quantum technology.",FALSE,Quantum Computing,"qubit, quantum computing, cloud services, visible light communication, wireless communication","Science and Technology in India, Modern Physics",Factual recall,TRUE,2022
"36. Consider the following communication technologies:
1. Closed-circuit Television
2. Radio Frequency Identification
3. Wireless Local Area Network
Which of the above are considered Short-Range devices/technologies?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of communication technologies, focusing on the characteristics of short-range devices.",FALSE,Short-range Communication Devices,"CCTV, RFID, Wireless LAN, short-range devices","NCERT Science textbooks (Class XI & XII), Science and Technology in India",factual recall,TRUE,2022
"37. Consider the following statements:
1. Biofilms can form on medical implants within human tissues.
2. Biofilms can form on food and food processing surfaces.
3. Biofilms can exhibit antibiotic resistance.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of biofilms, focusing on their formation and characteristics.",FALSE,Biofilms and Antibiotic Resistance,"Biofilms, Medical Implants, Food Processing, Antibiotic Resistance","NCERT Biology, Textbook of Microbiology, NCCS Biology for UPSC",Conceptual understanding of microbiological biofilms formation and their resistance mechanisms,TRUE,2022
"38. Consider the following statements in respect of probiotics:
1. Probiotics are made of both bacteria and yeast.
2. The organisms in probiotics are found in foods we ingest but they do not naturally occur in our gut.
3. Probiotics help in the digestion of milk sugars.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) 1 and 3
(d) 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of probiotics, focusing on the correctness of statements regarding their composition and function.",FALSE,Probiotics: Composition and Function,"probiotics, bacteria, yeast, gut flora, digestion, milk sugars, lactose digestion","NCERT Biology (Class XI and XII), Health and Nutrition (NCERT), Fundamentals of Microbiology",Factual recall and conceptual understanding regarding the composition and function of probiotics.,TRUE,2022
"39. In the context of vaccines manufactured to prevent COVID-19 pandemic, consider the following statements:
1. The Serum Institute of India produced COVID-19 vaccine named Covishield using mRNA platform.
2. Sputnik V vaccine is manufactured using vector based platform.
3. COVAXIN is an inactivated pathogen based vaccine.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of COVID-19 vaccines, focusing on the accuracy of the statements about different vaccine platforms and manufacturers.",FALSE,COVID-19 Vaccines and Vaccine Platforms,"COVID-19, Vaccines, Covishield, Sputnik V, COVAXIN, mRNA platform, Vector based platform, Inactivated pathogen","Biotechnology by David P. Clark and Nanette J. Pazdernik, Immunology, Vaccines, and Biotechnology (various UPSC recommended sources)",Factual recall and conceptual understanding,TRUE,2022
"40. If a major solar storm (solar flare) reaches the Earth, which of the following are the possible effects on the Earth?
1. GPS and navigation systems could fail.
2. Tsunamis could occur at equatorial regions.
3. Power grids could be damaged.
4. Intense auroras could occur over much of the Earth.
5. Forest fires could take place over much of the planet.
6. Orbits of the satellites could be disturbed.
7. Shortwave radio communication of the aircraft flying over polar regions could be interrupted.
Select the correct answer using the code given below:
(a) 1, 2, 4 and 5 only
(b) 2, 3, 5, 6 and 7 only
(c) 1, 3, 4, 6 and 7 only
(d) 1, 2, 3, 4, 5, 6 and 7",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of the effects of solar storms on Earth, focusing on determining which potential impacts are valid based on scientific understanding.",,Effects of Solar Storms on Earth,"solar storm, solar flare, GPS, power grid, auroras, satellite orbits, shortwave radio communication","NCERT Science Textbooks, Concepts of Physics by H.C. Verma, Modern Approach to Verbal & Non-Verbal Reasoning (for UPSC general studies)",Conceptual understanding and factual recall of the impact of solar events on Earth's technological and natural systems.,TRUE,2022
"41. ""Climate Action Tracker"" which monitors the emission reduction pledges of different countries is a :
(a) Database created by coalition of research organisations
(b) Wing of ""International Panel of Climate Change""
(c) Committee under ""United Nations Framework Convention on Climate Change""
(d) Agency promoted and financed by United Nations Environment Programme and World Bank",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of climate monitoring initiatives, focusing on the nature and origin of the 'Climate Action Tracker'.",FALSE,International Environmental Governance and Actions,"Climate Action Tracker, emission reduction, research organisations, United Nations Environment Programme, World Bank, International Panel of Climate Change, United Nations Framework Convention on Climate Change","Environment and Ecology by Majid Husain, Indian Environment: Problems and Policies by Majid Husain, NCERT Environmental Studies textbooks",factual recall,TRUE,2022
"42. Consider the following statements :
1. ""The Climate Group"" is an international non-profit organization that drives climate action by building large networks and runs them.
2. The International Energy Agency in partnership with the Climate Group launched a global initiative ""EP100"".
3. EP100 brings together leading companies committed to driving innovation in energy efficiency and increasing competitiveness while delivering on emission reduction goals.
4. Some Indian companies are members of EP100.
5. The International Energy Agency is the Secretariat to the ""Under2 Coalition"".
Which of the statements given above are correct ?
(a) 1, 2, 4 and 5
(b) 1, 3 and 4 only
(c) 2, 3 and 5 only
(d) 1, 2, 3, 4 and 5",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses factual recall in the context of climate action initiatives and organizations, focusing on the accuracy of statements related to the Climate Group and the International Energy Agency's EP100 initiative.",FALSE,Global Environmental Governance and Climate Change Initiatives,"Climate Group, International Energy Agency, EP100, Under2 Coalition, Indian companies, climate action, energy efficiency, emission reduction","Environment and Ecology by Majid Husain, India Year Book, NCERT Geography and Environmental Studies textbooks",Factual recall and conceptual understanding related to international environmental initiatives and climate governance,TRUE,2022
"43. ""If rainforests and tropical forests are the lungs of the Earth, then surely wetlands function as its kidneys."" Which one of the following functions of wetlands best reflects the above statement?
(a) The water cycle in wetlands involves surface runoff, subsoil percolation and evaporation.
(b) Algae form the nutrient base upon which fish, crustaceans, molluscs, birds, reptiles and mammals thrive.
(c) Wetlands play a vital role in maintaining sedimentation balance and soil stabilization.
(d) Aquatic plants absorb heavy metals and excess nutrients.",Reasoning/Logical Elimination Questions,Single Correct Option Questions,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of wetland ecology, focusing on the filtration and purification functions of wetlands that contribute to environmental health.",FALSE,Functioning of Ecosystem Services: Analogy of kidneys in natural systems,"rainforests, tropical forests, wetlands, lungs, kidneys, heavy metals, nutrient absorption, ecosystem services","Environment and Ecology by Majid Husain, Shankar IAS Environment Book","Conceptual understanding, application of knowledge and critical thinking in linking ecosystem functions to human analogies",TRUE,2022
"44. In the context of WHO Air Quality Guidelines, consider the following statements:
1. The 24-hour mean of PM2.5 should not exceed 15 Âµg/mÂ³ and annual mean of PM2.5 should not exceed 5 Âµg/mÂ³.
2. In a year, the highest levels of ozone pollution occur during the periods of inclement weather.
3. PM10 can penetrate the lung barrier and enter the bloodstream.
4. Excessive ozone in the air can trigger asthma.
Which of the statements given above are correct?
(a) 1, 3 and 4
(b) 1 and 4 only
(c) 2, 3 and 4
(d) 1 and 2 only",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses critical thinking in the context of WHO Air Quality Guidelines, focusing on the accuracy of statements related to air pollution standards and health implications.",FALSE,WHO Air Quality Guidelines,"PM2.5, PM10, ozone, WHO guidelines, air pollution, asthma, inclement weather","Shankar IAS Environment, NCERT Geography and Science texts on Environment, Environment and Ecology by Majid Husain",Conceptual understanding and factual recall,TRUE,2022
"45. With reference to ""Gucchi"" sometimes mentioned in the news, consider the following statements:
1. It is a fungus.
2. It grows in some Himalayan forest areas.
3. It is commercially cultivated in the Himalayan foothills of north-eastern India.
Which of the statements given above is/are correct?
(a) 1 only
(b) 3 only
(c) 1 and 2
(d) 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Gucchi, focusing on its characteristics and cultivation.",FALSE,Wild forest produce and their exploitation,"gucchi, fungus, Himalayan forests, commercial cultivation, wild harvesting","NCERT Biology, Environment by Shankar IAS, Certificate Physical and Human Geography by G.C. Leong",factual recall with emphasis on specific knowledge regarding natural resources and their exploitation,TRUE,2022
"46. With reference to polyethylene terephthalate, the use of which is so widespread in our daily lives, consider the following statements:
1. Its fibres can be blended with wool and cotton fibres to reinforce their properties.
2. Containers made of it can be used to store any alcoholic beverage.
3. Bottles made of it can be recycled into other products.
4. Articles made of it can be easily disposed of by incineration without causing greenhouse gas emissions.
Which of the statements given above are correct?
(a) 1 and 3
(b) 2 and 4
(c) 1 and 4
(d) 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of polymer science and material properties, focusing on the characteristics and applications of polyethylene terephthalate (PET) in daily life.",FALSE,Polyethylene Terephthalate (PET) Applications and Environmental Implications,"Polyethylene Terephthalate, PET, fibers, blending, recycling, containers, incineration, greenhouse gas emissions, alcoholic beverages","NCERT Science textbooks for Class XI and XII, Modern Materials Science (selected chapters), Environmental Studies for UPSC","Factual recall and application of knowledge regarding the properties, uses, and environmental impact of PET.",TRUE,2022
"47. Which of the following is not a bird ?
(a) Golden Mahseer
(b) Indian Nightjar
(c) Spoonbill
(d) White Ibis",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of zoology, focusing on identifying non-bird species among listed options.",FALSE,Classification of Animals,"Golden Mahseer, Indian Nightjar, Spoonbill, White Ibis, Bird, Fish, Animal Classification, Biodiversity","NCERT Biology (Class XI and XII), Environment and Ecology textbooks",factual recall,TRUE,2022
"48. Which of the following are nitrogen-fixing plants?
1. Alfalfa
2. Amaranth
3. Chickpea
4. Clover
5. Purslane (Kulfa)
6. Spinach
Select the correct answer using the code given below:
(a) 1, 3 and 4 only
(b) 1, 3, 5 and 6 only
(c) 2, 4, 5 and 6 only
(d) 1, 2, 4, 5 and 6",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of nitrogen-fixing plants, focusing on identifying which plants among the given options have the ability to fix nitrogen in the soil.",FALSE,Role of Plants in Nitrogen Fixation,"nitrogen fixation, alfalfa, chickpea, clover, leguminous plants, non-leguminous plants","Environment by Shankar IAS, NCERT Biology, Modern's ABC of Biology",factual recall,TRUE,2022
"49. ""Biorock technology"" is talked about in which one of the following situations?
(a) Restoration of damaged coral reefs
(b) Development of building materials using plant residues
(c) Identification of areas for exploration/extraction of shale gas
(d) Providing salt licks for wild animals in forests/protected areas",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental technology, focusing on the application of Biorock technology in coral reef restoration.",FALSE,Application of technology in coral reef restoration,"Biorock technology, coral reef restoration, marine ecosystems, ocean rehabilitation","Environment by Shankar IAS, NCERT Biology and Geography textbooks (Class XI-XII)",application of knowledge,TRUE,2022
"50. The ""Miyawaki method"" is well known for the:
(a) Promotion of commercial farming in arid and semi-arid areas
(b) Development of gardens using genetically modified flora
(c) Creation of mini forests in urban areas
(d) Harvesting wind energy on coastal areas and on sea surfaces",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental science, focusing on the method of creating mini forests in urban areas through the Miyawaki technique.",",FALSE",Urban Greening and Biodiversity,"Miyawaki method, mini forests, urban afforestation, ecosystem restoration","Environment and Ecology by Majid Husain, Shankar IAS Environment Book, NCERT Biology and Geography textbooks",Factual Recall and Conceptual Understanding,TRUE,2022
"2. Consider the following pairs :
Port Well known as
1. Kamarajar Port: First major port in India registered as a company.
2. Mundra Port : Largest privately owned port in India
3. Visakhapatnam: Largest container port in India
Port
How many of the above pairs are correctly matched?
(a) Only one pair
(b) Only two pairs
(c) All three pairs
(d) None of the pairs",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of Indian ports, focusing on the correctness of pairings between ports and their descriptions.",FALSE,Factual Recall of Key Facts about Indian Ports,"Kamarajar Port, Mundra Port, Visakhapatnam Port, Privately owned port, Container port, Indian ports","Indian Economy by Ramesh Singh, Economic Survey, India Year Book",Factual recall,TRUE,2023
"3. Consider the following trees :
1. Jackfruit (Artocarpus heterophyllus)
2. Mahua (Madhuca indica)
3. Teak (Tectona grandis)
How many of the above are deciduous trees?
(a) Only one
(b) Only two
(c) All three
(d) None",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of botanical classification, focusing on the identification of deciduous trees among given examples.",FALSE,Deciduous vs Evergreen Trees,"Jackfruit, Mahua, Teak, deciduous, evergreen, plant adaptation, tree classification","NCERT Biology (Class XI & XII), Environment and Ecology by Majid Husain",factual recall and application of knowledge regarding plant characteristics and seasonal adaptations,TRUE,2023
"4. Consider the following statements :
1. India has more arable area than China.
2. The proportion of irrigated area is more in India as compared to China.
3. The average productivity per hectare in Indian agriculture is higher than that in China.
How many of the above statements are correct?
(a) Only one
(b) Only two
(c) All three
(d) None",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Medium,"The question assesses factual recall in the context of agricultural statistics comparing India and China, focusing on the accuracy of statements regarding arable land, irrigation, and productivity levels.",FALSE,Comparative Analysis of Agricultural Parameters,"arable area, irrigation, productivity per hectare, India, China","NCERT Geography textbooks, Indian Economy by Ramesh Singh, Oxford School Atlas (for basic comparative geography)",factual recall and comparative analysis,TRUE,2023
"5. Which one of the following is the best example of repeated falls in sea level, giving rise to present-day extensive marshland?
(a) Bhitarkanika Mangroves
(b) Marakkanam Salt Pans
(c) Naupada Swamp
(d) Rann of Kutch",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of geographical characteristics of Indian coastal ecosystems, focusing on the examples of historical sea level changes that led to marsh formation.",FALSE,Coastal landforms and sea-level changes,"sea level fall, marshland formation, coastal geomorphology, Rann of Kutch, UPSC","Physical Geography by Savindra Singh, Certificate Physical and Human Geography by G.C. Leong",conceptual understanding,TRUE,2023
"6. Ilmenite and rutile, abundantly available in certain coastal tracts of India, are rich sources of which one of the following?
(a) Aluminium
(b) Copper
(c) Iron
(d) Titanium",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of mineral resources in India, focusing on the sources of certain metals found in coastal regions.",FALSE,Extraction and Composition of Minerals,"Ilmenite, Rutile, Coastal Tracts, Titanium, Mineral Sources","Certificate Physical and Human Geography by G.C. Leong, Oxford School Atlas, Indian Geography by Majid Husain",Factual Recall and Application of Geographical Knowledge to Identify Mineral Sources,TRUE,2023
"7. About three-fourths of world's cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by
(a) Argentina
(b) Botswana
(c) the Democratic Republic of the Congo
(d) Kazakhstan",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of global mineral production, focusing on the primary producer of cobalt necessary for electric vehicle batteries.",FALSE,Natural Resource Geopolitics,"cobalt, electric vehicles, battery production, Democratic Republic of the Congo, mineral resources","Indian Economy by Ramesh Singh, Polity by Laxmikanth",factual recall,TRUE,2023
